list_date,isbn13,rank,weeks_on_list,title,author,publisher,description,month
2018-07-15,9780316412698,1,4,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,7
2018-07-15,9780399178924,2,1,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,7
2018-07-15,9781501180989,3,6,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,7
2018-07-15,9780316375269,4,2,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,7
2018-07-15,9781250161598,5,5,SHELTER IN PLACE,Nora Roberts,St. Martin's,"Survivors of a mass shooting outside a mall in Portland, Me., develop different coping mechanisms.",7
2018-07-15,9780735215924,6,3,TOM CLANCY LINE OF SIGHT,Mike Maden,Putnam,Jack Ryan Jr. risks his life to protect a woman in a country on the brink of civil war.,7
2018-07-15,9781501156212,7,5,THE DEATH OF MRS. WESTAWAY,Ruth Ware,Gallery/Scout,A tarot card reader mistakenly receives an inheritance letter and attends the funeral of the deceased.,7
2018-07-15,9780525520375,8,4,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,7
2018-07-15,9781476778440,9,4,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,7
2018-07-15,9780425284681,10,41,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,7
2018-07-15,9781524797188,11,4,SOMETHING IN THE WATER,Catherine Steadman,Ballantine,A documentary filmmaker and an investment banker must decide whether they should protect a secret.,7
2018-07-15,9780735224292,12,40,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,7
2018-07-15,9781538761397,13,11,THE FALLEN,David Baldacci,Grand Central,Amos Decker puts his talents toward solving a string of murders.,7
2018-07-15,9780062678416,14,23,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,7
2018-07-15,9780312577230,15,18,THE GREAT ALONE,Kristin Hannah,St. Martin's,A former prisoner of war moves his family to Alaska.,7
2018-07-22,9780316412698,1,5,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,7
2018-07-22,9781476789415,2,1,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,7
