list_date,isbn13,rank,weeks_on_list
2018-01-07,9780385541176,1,9
2018-01-07,9780385514231,2,12
2018-01-07,9780316273909,3,5
2018-01-07,9780553448122,4,6
2018-01-07,9780399593482,5,7
2018-01-07,9781250122957,6,3
2018-01-07,9780735215894,7,4
2018-01-07,9781455586608,8,6
2018-01-07,9781501163401,9,13
2018-01-07,9780735224292,10,14
2018-01-07,9781101946152,11,10
2018-01-07,9780399179198,12,6
2018-01-07,9780525954972,13,15
2018-01-07,9780316225908,14,8
2018-01-07,9781476716732,15,6
2018-01-14,9780385514231,1,13
2018-01-14,9780385541176,2,10
2018-01-14,9780316273909,3,6
2018-01-14,9780399593482,4,8
2018-01-14,9780735224292,5,15
2018-01-14,9780553448122,6,7
2018-01-14,9781250122957,7,4
2018-01-14,9781538745595,8,7
2018-01-14,9780399161506,9,1
2018-01-14,9780735215894,10,5
2018-01-14,9780316225908,11,9
2018-01-14,9781501163401,12,14
2018-01-14,9780425284681,13,15
2018-01-14,9781476716732,14,7
2018-01-14,9781501126062,15,2
2018-01-21,9780062678416,1,1
2018-01-21,9780385514231,2,14
2018-01-21,9780385541176,3,11
2018-01-21,9780735224292,4,16
2018-01-21,9781501126062,5,3
2018-01-21,9781501176845,6,1
2018-01-21,9780735217171,7,1
2018-01-21,9780316273909,8,7
2018-01-21,9780399593482,9,9
2018-01-21,9780425284681,10,16
2018-01-21,9781250122957,11,5
2018-01-21,9780553448122,12,8
2018-01-21,9780670026197,13,47
2018-01-21,9781538745595,14,8
2018-01-21,9780316547611,15,1
2018-01-28,9780062678416,1,2
2018-01-28,9781250130921,2,1
2018-01-28,9780385514231,3,15
2018-01-28,9780385541176,4,12
2018-01-28,9780735224292,5,17
2018-01-28,9781501126062,6,4
2018-01-28,9780735213180,7,1
2018-01-28,9780425284681,8,17
2018-01-28,9780451475343,9,1
2018-01-28,9781501176845,10,2
2018-01-28,9780316273909,11,8
2018-01-28,9781455586608,12,9
2018-01-28,9780399593482,13,10
2018-01-28,9780670026197,14,48
2018-01-28,9780553448122,15,9
2018-02-04,9780062678416,1,3
2018-02-04,9781455536948,2,1
2018-02-04,9780425285916,3,1
2018-02-04,9780385514231,4,16
2018-02-04,9780735224292,5,18
2018-02-04,9780385541176,6,13
2018-02-04,9780735213180,7,2
2018-02-04,9780425284681,8,18
2018-02-04,9781250130921,9,2
2018-02-04,9781501126062,10,5
2018-02-04,9780525520269,11,1
2018-02-04,9780316273909,12,9
2018-02-04,9781455586608,13,10
2018-02-04,9780399593482,14,11
2018-02-04,9781501176845,15,3
2018-02-11,9780062678416,1,4
2018-02-11,9781101884003,2,1
