isbn13,isbn10,title,author,publisher,description
9780385548984,,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
9780385546898,,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
9780593972700,,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
9781538774700,,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
9781668014905,,THE CHRISTMAS STRANGER,Richard Paul Evans,Gallery,"Three years after a tragedy, a computer repairman encounters several people who make him reconsider the value of his life."
9780062406682,,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
9798217154043,,REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions."
9780316563826,,THE PROVING GROUND,Michael Connelly,"Little, Brown",The eighth book in the Lincoln Lawyer series. Mickey Haller enlists a journalist to help his lawsuit against an A.I. company.
9781464260919,,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
9781250245373,,EMPIRE OF THE DAWN,Jay Kristoff,St. Martin's,The third book in the Empire of the Vampire series. A final battle will alter the state of the Empire.
9781250328175,,THE BLACK WOLF,Louise Penny,Minotaur,"The 20th book in the Chief Inspector Gamache series. After thwarting a terrorist attack, an injured Gamache leads a covert investigation."
9781335146984,,BONDS OF HERCULES,Jasmine Mas,Canary Street,The second book in the Villains of Lore series. Seduction and danger put Hercules in a tough spot.
9780593798430,,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.
9781501189449,,QUEEN ESTHER,John Irving,Simon & Schuster,"In a novel set in the world of “The Cider House Rules,” a Jewish woman who grew up orphaned is affected by antisemitism."
9780593975206,,THE BRIDGE KINGDOM,Danielle L. Jensen,Del Rey,Lara’s sense of self and loyalty to her land become tested as her feelings toward her husband shift.
9780063021471,,KATABASIS,R.F. Kuang,Harper Voyager,A pair of rival graduate students descend into the underworld to save their late professor and secure his recommendation.
9780063451919,,THE COLOR OF DEATH,Trey Gowdy with Christopher Greyson,Fox News,"After a tragedy strikes his family, an assistant district attorney investigates the murder of a young woman."
